,_id,Timestamp,Name,Email,profession,interest,collaboration,Topic,Skills,password,Experience
0,652f66faa519e85866e524e7,10/15/2023 10:55:42,Deependar,deependar37@gmail.com,Student,Projects,"Student, Faculty",Structures,Structural analysis.,,3.0
1,652f66faa519e85866e524e8,10/15/2023 11:03:32,Devanshi Vora,devanshi.v11@gmail.com,Student,Projects,"Student, Faculty, Researcher",AI & ML,Mainly necessary coding languages and web development,,3.0
2,652f66faa519e85866e524e9,10/15/2023 11:08:11,Hamsini .R,hamsini.ramanan@gmail.com,Student,"Projects, Research","Student, Faculty, Researcher",NLP,"Data Analytics , AI , Tensorflow",,4.0
3,652f66faa519e85866e524ea,10/15/2023 11:13:31,Zenha,zenhaiqbal@gmail.com,Student,Study Groups,Student,Literature,"English poetry, prose, fiction",,5.0
4,652f66faa519e85866e524eb,10/15/2023 11:16:20,Jothi,jothithangu@gmail.com,Faculty,Projects,Faculty,Data management,Mechanical Design,,12.0
5,652f66faa519e85866e524ec,10/15/2023 11:22:09,Aishwarya Iyer,aiishwarya002@gmail.com,Student,Study Groups,Student,AIML/UI design,UI,,3.0
6,652f66faa519e85866e524ed,10/15/2023 11:39:13,Siddhanth Sridhar,siddhanth2305@gmail.com,Student,"Projects, Research","Student, Researcher","Machine learning,deep learning ","Machine learning,neural networks, enterpreneurship, communication ",,1.0
7,652f66faa519e85866e524ee,10/15/2023 11:46:59,Amogh P,p.amogh@gmail.com,Student,Projects,Student,Biotechnology,"Sports analysis
Basic Genomics knowledge",,2.0
8,652f66faa519e85866e524ef,10/15/2023 11:55:51,Aryan,odugoudararyanr8@gmail.com,Student,"Projects, Research","Student, Faculty, Researcher","Machine Learning, Deep Learning, Quantitative Analysis ","ML,DL, Python, C , C++, Java, Statistics, Vectors",,1.0
9,652f66faa519e85866e524f0,10/15/2023 12:04:09,Asim Anand,asim.anand2021@vitstudent.ac.in,Student,Projects,"Student, Faculty, Researcher","VLSI, MICROPROCESSORS AND MICROCONTROLLERS, ARDUINO, RTL DESIGNING, ANTENNA DESIGNING, COMMUNICATION ","Verilog Coding, Arduino Coding, 8051 and 8086 Coding",,1.0
10,652f66faa519e85866e524f2,10/15/2023 12:18:33,Yash Nair,yash.nair2021@vitstudent.ac.in,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher",Robotics and Sensors,"Arduino IDE, ROS, Fusion 360",,4.0
11,652f66faa519e85866e524f3,10/15/2023 12:35:40,Thangaraj A,thanguhal@gmail.com,Faculty,Projects,Researcher,Data science,Data management for large industry,,16.0
12,652f66faa519e85866e524f4,10/15/2023 13:25:01,Krithisha,gaddam.krithisha2021@vitstudent.ac.in,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher","AI,ML,CLOUD COMPUTING","Java , python,c,c++,html,css",,1.0
13,652f66faa519e85866e524f5,10/15/2023 14:09:00,Akanksh,akanksh.sinha@gmail.com,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher","Cyber security, software development, cloud and applications","Internship experience in VAPT, project work in Python, Javascript, and their frameworks, research experience in malware analysis. Open source contributions in international organizations.",,2.0
14,652f66faa519e85866e524f6,10/15/2023 14:24:59,Kanishk Sharma,writetokanishk@gmail.com,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher","Probablity theory, combinatorics, machine learning and statistics, competitive programming ","Probability, combinatorics, python",,2.0
15,652f66faa519e85866e524f7,10/15/2023 14:26:00,Joshita Das,joshita2002@outlook.com,Student,"Projects, Research","Student, Researcher",Machine learning,ML / Data analysis,,2.0
